"SCORE Banks - List of SCORE banks with associated services (FIN, FileAct RealTime, FileAct Store""n""Forward)",,,,,,,
UPDATED SEP2022,,,,,,,
The information provided here is for guidance purposes only and may not be 100% accurate. SWIFT shall not be responsible for any loss whatsoever sustained by any person or business that relies on this information,,,,,,,
,,,,,2231,853,784
ARMIAM22,AMERIABANK CJSC (FORMERLY ARMIMPEXBANK),ARMENIA,ARMIAM22,AMERIABANK CJSC (FORMERLY ARMIMPEXBANK),YES,YES,
ARMJAM22,VTB BANK (ARMENIA) CJSC,ARMENIA,ARMJAM22,VTB BANK (ARMENIA) CJSC,YES,,
ARNBSARI,ARAB NATIONAL BANK,SAUDI ARABIA,ARNBSARI,ARAB NATIONAL BANK,YES,YES,YES
ARONUS33,J. ARON AND COMPANY LLC,UNITED STATES,ARONUS33,GOLDMAN SACHS AND CO. LLC,YES,,
ASBBNZ2A,ASB BANK LIMITED,NEW ZEALAND,ASBBNZ2A,COMMONWEALTH BANK OF AUSTRALIA,YES,,
ASPKAT2L,ALLGEMEINE SPARKASSE OBEROESTERREICH BANK AG,AUSTRIA,ASPKAT2L,ALLGEMEINE SPARKASSE OBEROESTERREICH BANK AG,YES,,
ATBFBFBF,BANQUE ATLANTIQUE BURKINA FASO,BURKINA FASO,ATBFBFBF,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATBJBJBJ,BANQUE ATLANTIQUE DU BENIN,BENIN,ATBJBJBJ,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATBRCA6E,ATB FINANCIAL,CANADA,ATBRCA6E,ATB FINANCIAL,YES,,
ATCICIAB,BANQUE ATLANTIQUE COTE D'IVOIRE,COTE D'IVOIRE,ATCICIAB,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATCRCMCM,BANQUE ATLANTIQUE CAMEROUN,CAMEROON,ATCRCMCM,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATGWGWGW,"BANQUE ATLANTIQUE DA GUINE-BISSAU, S.A.",GUINEA-BISSAU,ATGWGWGW,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATMLMLBA,BANQUE ATLANTIQUE MALI,MALI,ATMLMLBA,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATNENENI,BANQUE ATLANTIQUE NIGER,NIGER,ATNENENI,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATSNSNDA,BANQUE ATLANTIQUE SENEGAL,SENEGAL,ATSNSNDA,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
ATTDHNTE,BANCO ATLANTIDA S.A.,HONDURAS,ATTDHNTE,BANCO ATLANTIDA S.A.,YES,YES,YES
ATTGTGTG,BANQUE ATLANTIQUE TOGO,TOGO,ATTGTGTG,BANQUE ATLANTIQUE COTE D'IVOIRE,YES,,
AUBBBHBM,AHLI UNITED BANK B.S.C.,BAHRAIN,AUBBBHBM,AHLI UNITED BANK B.S.C.,YES,,
AUDBEGCA,FIRST ABU DHABI BANK MISR S.A.E.,EGYPT,AUDBEGCA,FIRST ABU DHABI BANK PJSC,YES,YES,YES
AUDBLBBX,Bank Audi s.a.l.,LEBANON,AUDBLBBX,Bank Audi s.a.l.,YES,,YES
AVALUAUK,RAIFFEISEN BANK JOINT STOCK COMPANY,UKRAINE,AVALUAUK,RAIFFEISEN BANK INTERNATIONAL AG,YES,YES,YES
AWINETAA,AWASH INTERNATIONAL BANK S.C.,ETHIOPIA,AWINETAA,AWASH INTERNATIONAL BANK S.C.,YES,,
AXISINBB,AXIS BANK LIMITED,INDIA,AXISINBB,AXIS BANK LIMITED,YES,,
AYUDTHBK,BANK OF AYUDHYA PUBLIC COMPANY LTD,THAILAND,AYUDTHBK,"MUFG BANK, LTD.",YES,YES,YES
AZTKMXMM,"BANCO AZTECA , S.A. INSTITUCION DE BANCA MULTIPLE",MEXICO,AZTKMXMM,"BANCO AZTECA , S.A. INSTITUCION DE BANCA MULTIPLE",YES,,
BAAWMRMR,BANQUE AL WAVA MAURITANIENNE ISLAMIQUE (BAMIS),MAURITANIA,BAAWMRMR,BANQUE AL WAVA MAURITANIENNE ISLAMIQUE (BAMIS),YES,YES,YES
BACIARBA,BANCO DE LA CIUDAD DE BUENOS AIRES,ARGENTINA,BACIARBA,BANCO DE LA CIUDAD DE BUENOS AIRES,YES,,
BACOARBA,HSBC BANK ARGENTINA SA,ARGENTINA,BACOARBA,HSBC BANK PLC,YES,YES,YES
BACRIT22,CREDITO EMILIANO SPA,ITALY,BACRIT22,CREDITO EMILIANO SPA,YES,,
BACUSVSS,BANCO CUSCATLAN DE EL SALVADOR S.A,EL SALVADOR,BACUSVSS,BANCO CUSCATLAN DE EL SALVADOR S.A,YES,YES,YES
BACXCZPP,"UNICREDIT BANK CZECH REPUBLIC AND SLOVAKIA, A.S.",CZECHIA,BACXCZPP,Unicredit S.p.A.,YES,YES,YES
BACXHUHB,UNICREDIT BANK HUNGARY ZRT.,HUNGARY,BACXHUHB,Unicredit S.p.A.,YES,YES,
BACXROBU,UNICREDIT BANK SA,ROMANIA,BACXROBU,Unicredit S.p.A.,YES,YES,YES
BACXRSBG,UNICREDIT BANK SRBIJA A.D.,REPUBLIC OF SERBIA,BACXRSBG,Unicredit S.p.A.,YES,,
BACXSI22,UNICREDIT BANKA SLOVENIJA D.D.,SLOVENIA,BACXSI22,Unicredit S.p.A.,YES,,
BAERCHZZ,"BANK JULIUS BAER AND CO.LTD.,ZURICH",SWITZERLAND,BAERCHZZ,"BANK JULIUS BAER AND CO.LTD.,ZURICH",YES,,
BAFUITRR,BANCA DEL FUCINO,ITALY,BAFUITRR,BANCA DEL FUCINO,YES,,
BAGAGE22,JSC BANK OF GEORGIA,GEORGIA,BAGAGE22,JSC BANK OF GEORGIA,YES,,
BAIPAOLU,"BANCO ANGOLANO DE INVESTIMENTOS, SA",ANGOLA,BAIPAOLU,"BANCO ANGOLANO DE INVESTIMENTOS, SA",YES,YES,YES
BAIPPTPL,"BANCO BAI EUROPA, SA",PORTUGAL,BAIPPTPL,"BANCO ANGOLANO DE INVESTIMENTOS, SA",YES,,
BAKHSDKH,BANK OF KHARTOUM,SUDAN,BAKHSDKH,BANK OF KHARTOUM,,YES,YES
BAKOSI2X,BANKA INTESA SANPAOLO D.D.,SLOVENIA,BAKOSI2X,INTESA SANPAOLO SPA,YES,,
BALPLI22,BANK ALPINUM AG,LIECHTENSTEIN,BALPLI22,BANK ALPINUM AG,YES,,
BAMCNIMA,"BANCO DE AMERICA CENTRAL, S.A.",NICARAGUA,BAMCNIMA,"BAC INTERNATIONAL BANK, INC.",YES,YES,YES
BAMCSVSS,"BANCO DE AMERICA CENTRAL, S.A.",EL SALVADOR,BAMCSVSS,"BAC INTERNATIONAL BANK, INC.",YES,YES,YES
BAMEITMM,MEDIOBANCA BANCA DI CREDITO FINANZIARIO SPA,ITALY,BAMEITMM,MEDIOBANCA BANCA DI CREDITO FINANZIARIO SPA,YES,,
BAMRVECA,MERCANTIL C.A. BANCO UNIVERSAL,VENEZUELA,BAMRVECA,MERCANTIL C.A. BANCO UNIVERSAL,YES,,
BANIBOLX,BANCO BISA S.A.,BOLIVIA,BANIBOLX,BANCO BISA S.A.,YES,YES,YES
BANSPAPA,BANESCO (PANAMA) S.A.,PANAMA,BANSPAPA,BANESCO (PANAMA) S.A.,YES,,
BAOKUS44,"BOKF, NA",UNITED STATES,BAOKUS44,"BOKF, NA",YES,YES,YES
BAPAPTPL,"BANCO ATLANTICO EUROPA, SA",PORTUGAL,BAPAPTPL,"BANCO ATLANTICO EUROPA, SA",YES,,
BAPPIT22,BANCO BPM SPA,ITALY,BAPPIT22,BANCO BPM SPA,YES,YES,
BAPRNIMA,BANCO DE LA PRODUCCION SOCIEDAD ANONIMA,NICARAGUA,BAPRNIMA,BANCO DE LA PRODUCCION S.A. PRODUBANCO,YES,,
BARCAEAD,BARCLAYS BANK PLC,UNITED ARAB EMIRATES,BARCAEAD,BARCLAYS BANK PLC,YES,,
BARCBEBB,"BARCLAYS BANK IRELAND PLC, BELGIUM BRANCH",BELGIUM,BARCBEBB,BARCLAYS BANK PLC,YES,YES,YES
BARCBWGX,ABSA BANK BOTSWANA LIMITED,BOTSWANA,BARCBWGX,ABSA BANK LIMITED,YES,,
BARCCHGG,BARCLAYS BANK (SUISSE) S.A,SWITZERLAND,BARCCHGG,BARCLAYS BANK PLC,YES,,
BARCCNSH,"BARCLAYS BANK PLC, SHANGHAI BRANCH",CHINA,BARCCNSH,BARCLAYS BANK PLC,YES,,
BARCDEFF,BARCLAYS BANK IRELAND PLC FRANKFURT,GERMANY,BARCDEFF,BARCLAYS BANK PLC,YES,YES,YES
BARCFRPC,BARCLAYS BANK IRELAND PLC PARIS,FRANCE,BARCFRPP,BARCLAYS BANK PLC,YES,,
BARCFRPP,BARCLAYS BANK IRELAND PLC PARIS,FRANCE,BARCFRPP,BARCLAYS BANK PLC,YES,YES,YES
BARCGB22,BARCLAYS BANK PLC,UNITED KINGDOM,BARCGB22,BARCLAYS BANK PLC,YES,YES,YES
BARCGB2Z,BARCLAYS BANK PLC,UNITED KINGDOM,BARCGB22,BARCLAYS BANK PLC,YES,YES,
BARCGB33,BARCLAYS CAPITAL SECURITIES LTD,UNITED KINGDOM,BARCGB33,BARCLAYS BANK PLC,YES,,
BARCGB5G,BARCLAYS BANK PLC,UNITED KINGDOM,BARCGB22,BARCLAYS BANK PLC,YES,,
